phase_group,sub_phase,district,province,floors,delay_category,labour_availability,material_supply,weather_severity,cumulative_delay,delay_risk,delay_days,cause_of_delay,corrective_action_taken,construction_status
Structure,Floor slabs,Kilinochchi,Northern Province,2,Financial & Funding,0.7,1,0.3,44,HIGH,90,NHDA resettlement grant released in instalments causing Kilinochchi work stoppages,Work phased carefully to match NHDA grant instalment disbursement schedule,Completed in phased approach
Structure,Floor slabs,Matara,Southern Province,2,Financial & Funding,0.88,1,0.26,19,HIGH,180,Construction costs exceeded budget due to 2022 material inflation in Matara,Phased construction approach adopted to manage available cash flow,Partially completed - roof level only
Pre-Construction & Approvals,BOQ preparation & tendering,Trincomalee,Eastern Province,1,Owner / Social / Behavioural,0.6,1,0.41,10,MEDIUM,45,Diaspora Trincomalee owner abroad unable to make timely decisions,Power of attorney given to local relative to manage project on-site,Completed after governance change
Envelope & Waterproofing,External rendering,Matara,Southern Province,1,Environmental & Site,0.8,1,0.77,59,HIGH,55,Coastal erosion near Matara beach site threatened external rendering stability,Retaining wall and rock armouring constructed on coastal site boundary,Completed with coastal protection measures
Structure,Columns & beams,Ampara,Eastern Province,1,Material Supply & Quality,0.83,0,0.36,44,HIGH,120,Cement and steel unavailable in Ampara during 2022 foreign exchange crisis,Bulk materials procured from Colombo at additional transport cost,Completed with significant cost overrun
Finishes,Tiling,Gampaha,Western Province,1,Labour,0.27,1,0.25,3,LOW,7,Skilled tiler unavailable locally for bathroom and kitchen tiling in Gampaha,Experienced tiler hired from Colombo for complete finishing phase,Completed
Pre-Construction & Approvals,BOQ preparation & tendering,Jaffna,Northern Province,1,Financial & Funding,0.64,1,0.38,12,MEDIUM,45,Bank housing loan disbursement delayed due to incomplete land documents in Jaffna,Documents rectified and emergency loan instalment released by bank,Completed after delay
Foundations,Foundation work,Mannar,Northern Province,1,Environmental & Site,0.88,1,0.73,15,MEDIUM,42,Saltwater intrusion from Mannar lagoon corroded steel reinforcement in foundation,Corrosion resistant marine grade steel used and affected sections replaced,Completed with additional cost
External Works & Handover,Boundary wall & gate,Jaffna,Northern Province,1,Land & Legal,0.84,1,0.37,12,MEDIUM,30,Deed gifted by parent not legally transferred before boundary wall construction,Deed of gift prepared and registered at Jaffna Land Registry office,Completed after legal documentation
Structure,Roof slab,Jaffna,Northern Province,2,Labour,0.27,1,0.36,16,MEDIUM,21,Wage disputes between owner and daily-wage labourers halted roof slab work,Wage agreement mediated by Grama Niladhari officer in Jaffna,Completed after negotiation
Foundations,Ground beams,Batticaloa,Eastern Province,2,Environmental & Site,0.88,1,0.92,9,MEDIUM,35,Batticaloa lagoon saltwater intrusion corroded steel in ground beams,Epoxy coated marine grade steel used as full replacement,Completed with additional cost
Foundations,Foundation work,Ampara,Eastern Province,1,Environmental & Site,0.85,1,0.83,18,MEDIUM,38,Saltwater intrusion from Ampara lagoon corroded reinforcement bars,Marine grade steel and epoxy coating used for complete replacement,Completed with additional cost
Pre-Construction & Approvals,Authority approvals,Trincomalee,Eastern Province,1,Land & Legal,0.75,1,0.36,49,HIGH,180,Land under military restriction in Trincomalee district gazette HSZ zone,Application submitted to Ministry of Defence for HSZ clearance,Suspended awaiting gazette release
MEP Rough-Ins,Plumbing & drainage,Trincomalee,Eastern Province,1,Material Supply & Quality,0.81,0,0.35,19,MEDIUM,35,Material delivery delays due to limited transport infrastructure in Trincomalee,Advance bulk ordering and warehouse storage at Trincomalee depot arranged,Completed after supply improvement
Structure,Roof slab,Hambantota,Southern Province,1,Material Supply & Quality,0.75,0,0.26,36,HIGH,75,Steel price increase during 2022 crisis halted Hambantota roof slab work,Structural steel quantity optimised by engineer and work resumed,Completed with cost reduction through optimisation
Foundations,Foundation work,Mullaitivu,Northern Province,1,Labour,0.27,1,0.34,11,MEDIUM,25,Extreme shortage of skilled construction workers in Mullaitivu post-war area,Workers recruited from Vavuniya and Kilinochchi with accommodation on site,Completed after delay
Pre-Construction & Approvals,Site selection & surveying,Hambantota,Southern Province,1,Land & Legal,0.76,1,0.23,6,MEDIUM,35,Land boundary dispute with neighbour delayed Hambantota site clearance and survey,Licensed boundary survey conducted and formal agreement signed,Completed after legal resolution
Foundations,Foundation work,Trincomalee,Eastern Province,1,Environmental & Site,0.9,1,0.86,5,MEDIUM,25,Northeast monsoon flooding inundated foundation excavation in Trincomalee,Pumps installed and drainage channel constructed along site perimeter,Completed after weather delay
Structure,Floor slabs,Ampara,Eastern Province,1,Financial & Funding,0.64,1,0.36,15,HIGH,65,Bank housing loan application rejected in Ampara due to low income level,Microfinance through Samurdhi Development Bank obtained as alternative,Completed after alternative financing arranged
